	 i = -1    	 yi = 1    	 xi = 0    	 h = 0.25    	 yi(1/2) = 2.05923    	 yi - yi(1/2) = -0.00850182    	 LEE = 0.00971636    	 c1 = 1    	 c2 = 0
	 i = 84    	 yi = 9.51277    	 xi = 1.28125    	 h = 0.0078125    	 yi(1/2) = 9.51277    	 yi - yi(1/2) = -4.72532e-09    	 LEE = 5.40037e-09    	 c1 = 6    	 c2 = 0
	 i = 85    	 yi = 9.66026    	 xi = 1.28906    	 h = 0.0078125    	 yi(1/2) = 9.66026    	 yi - yi(1/2) = -4.78747e-09    	 LEE = 5.47139e-09    	 c1 = 6    	 c2 = 0
	 i = 86    	 yi = 9.80992    	 xi = 1.29688    	 h = 0.0078125    	 yi(1/2) = 9.80992    	 yi - yi(1/2) = -4.85036e-09    	 LEE = 5.54327e-09    	 c1 = 6    	 c2 = 0
	 i = 87    	 yi = 9.96179    	 xi = 1.30469    	 h = 0.0078125    	 yi(1/2) = 9.96179    	 yi - yi(1/2) = -4.914e-09    	 LEE = 5.616e-09    	 c1 = 6    	 c2 = 0
	 i = 88    	 yi = 10.1159    	 xi = 1.3125    	 h = 0.0078125    	 yi(1/2) = 10.1159    	 yi - yi(1/2) = -4.97841e-09    	 LEE = 5.68961e-09    	 c1 = 6    	 c2 = 0
	 i = 89    	 yi = 10.2723    	 xi = 1.32031    	 h = 0.0078125    	 yi(1/2) = 10.2723    	 yi - yi(1/2) = -5.04359e-09    	 LEE = 5.7641e-09    	 c1 = 6    	 c2 = 0
	 i = 90    	 yi = 10.4309    	 xi = 1.32812    	 h = 0.0078125    	 yi(1/2) = 10.4309    	 yi - yi(1/2) = -5.10954e-09    	 LEE = 5.83947e-09    	 c1 = 6    	 c2 = 0
	 i = 91    	 yi = 10.5919    	 xi = 1.33594    	 h = 0.0078125    	 yi(1/2) = 10.5919    	 yi - yi(1/2) = -5.17628e-09    	 LEE = 5.91575e-09    	 c1 = 6    	 c2 = 0
	 i = 92    	 yi = 10.7552    	 xi = 1.34375    	 h = 0.0078125    	 yi(1/2) = 10.7552    	 yi - yi(1/2) = -5.24382e-09    	 LEE = 5.99293e-09    	 c1 = 6    	 c2 = 0
	 i = 93    	 yi = 10.9209    	 xi = 1.35156    	 h = 0.0078125    	 yi(1/2) = 10.9209    	 yi - yi(1/2) = -5.31216e-09    	 LEE = 6.07104e-09    	 c1 = 6    	 c2 = 0
	 i = 94    	 yi = 11.089    	 xi = 1.35938    	 h = 0.0078125    	 yi(1/2) = 11.089    	 yi - yi(1/2) = -5.38131e-09    	 LEE = 6.15007e-09    	 c1 = 6    	 c2 = 0
	 i = 95    	 yi = 11.2596    	 xi = 1.36719    	 h = 0.0078125    	 yi(1/2) = 11.2596    	 yi - yi(1/2) = -5.45129e-09    	 LEE = 6.23004e-09    	 c1 = 6    	 c2 = 0
	 i = 96    	 yi = 11.4326    	 xi = 1.375    	 h = 0.0078125    	 yi(1/2) = 11.4326    	 yi - yi(1/2) = -5.5221e-09    	 LEE = 6.31097e-09    	 c1 = 6    	 c2 = 0
	 i = 97    	 yi = 11.6082    	 xi = 1.38281    	 h = 0.0078125    	 yi(1/2) = 11.6082    	 yi - yi(1/2) = -5.59375e-09    	 LEE = 6.39285e-09    	 c1 = 6    	 c2 = 0
	 i = 98    	 yi = 11.7863    	 xi = 1.39062    	 h = 0.0078125    	 yi(1/2) = 11.7863    	 yi - yi(1/2) = -5.66625e-09    	 LEE = 6.47571e-09    	 c1 = 6    	 c2 = 0
	 i = 99    	 yi = 11.9669    	 xi = 1.39844    	 h = 0.0078125    	 yi(1/2) = 11.9669    	 yi - yi(1/2) = -5.73961e-09    	 LEE = 6.55955e-09    	 c1 = 6    	 c2 = 0
	 i = 100    	 yi = 12.1502    	 xi = 1.40625    	 h = 0.0078125    	 yi(1/2) = 12.1502    	 yi - yi(1/2) = -5.81384e-09    	 LEE = 6.64438e-09    	 c1 = 6    	 c2 = 0
	 i = 101    	 yi = 12.3361    	 xi = 1.41406    	 h = 0.0078125    	 yi(1/2) = 12.3361    	 yi - yi(1/2) = -5.88895e-09    	 LEE = 6.73022e-09    	 c1 = 6    	 c2 = 0
	 i = 102    	 yi = 12.5247    	 xi = 1.42188    	 h = 0.0078125    	 yi(1/2) = 12.5247    	 yi - yi(1/2) = -5.96495e-09    	 LEE = 6.81708e-09    	 c1 = 6    	 c2 = 0
	 i = 103    	 yi = 12.716    	 xi = 1.42969    	 h = 0.0078125    	 yi(1/2) = 12.716    	 yi - yi(1/2) = -6.04184e-09    	 LEE = 6.90496e-09    	 c1 = 6    	 c2 = 0
	 i = 104    	 yi = 12.91    	 xi = 1.4375    	 h = 0.0078125    	 yi(1/2) = 12.91    	 yi - yi(1/2) = -6.11964e-09    	 LEE = 6.99388e-09    	 c1 = 6    	 c2 = 0
